index_x,id,contact_city,contact_state,found,manual,remove,still_there,FoundCity,FoundState,Keep?,foundStateAbb,origin_lon,origin_lat,dest_lon,dest_lat,index_y,org_id,url,type.x,species,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,color_tertiary,age,sex,size,coat,fixed,house_trained,declawed,special_needs,shots_current,env_children,env_dogs,env_cats,name,status,posted,contact_zip,contact_country,stateQ,accessed,description
0,44520267,Anoka,MN,Arkansas,,,,,Arkansas,,AR,-92.3731,34.7487,-94.6859,46.7296,37734,MN214,https://www.petfinder.com/dog/boris-44520267/mn/anoka/angel-of-hope-animal-rescue-mn214/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Miniature Schnauzer,,False,False,Black,White / Cream,,Adult,Male,Small,Medium,True,False,,True,True,,True,True,Boris,adoptable,2019-04-22T18:39:09+0000,55303,US,MN,2019-09-20,"Boris is a handsome mini schnauzer who made his long trek up her from Arkansas on 4/2019. He loves rope toys and running around his foster mom's yard. 

He is 4 years old, just under 10 pounds, and is a special needs dog. He needs vitamin B-12 shots every other week (may change), and needs prescription dog food with no meet or protein. Boris is on a vegan diet.

If interested in Boris please fill out or adoption application so we can set up a meet and greet for you! His foster mom can explain more in-depth about his needs and can answer any questions you may have about his lifestyle.

Boris' adoption fee is $300 and the application can be found at http://www.aohrescue.org/dog-adoption-application"
2,45983838,Adamstown,MD,Adam,Maryland,,,Adam,Maryland,,MD,-76.6413,39.0458,-76.6413,39.0458,15863,DE23,https://www.petfinder.com/dog/zac-45983838/md/adamstown/australian-cattle-dog-rescue-association-inc-de23/?referrer_id=9825d0c8-29d4-4feb-9841-e9bfcd37fd1b,Dog,Dog,Australian Cattle Dog / Blue Heeler,,False,False,Red / Chestnut / Orange,,,Young,Male,Medium,Short,True,True,,False,True,,True,,Zac,adoptable,2019-09-16T02:13:36+0000,21710,US,DC,2019-09-20,"Zac Woof-ron is a heartthrob movie star looking to settle down with the right person! 

As you know from his movie career, Zac is a 2-year-old, purebred red heeler male, about 37 pounds and high energy. After finishing his press tour for his latest movie, âMission Impossible: ACDâ, Zac came into foster care with ACDRA with the goal of retiring from the fast-paced motion picture industry and finding a forever home. Accordingly, Zacâs publicist agreed to finally let us share his full life story so far. You see, Zac was tied outside for most of his young life, with little to no interaction with people or other dogs. When his owner died, he was taken to a shelter in NC.  Zac has been in foster care on a farm with 2 other ACDs, cows, and horses. 

Although he is a bit slow to warm up to new people, Zac quickly becomes your best friend. He absolutely must be with his person at all times and gives the best body hugs ever! He has great recall and therefore a fence isnât required. He would do best with an energetic person in an active home with a yard that is dedicated to exercising him mentally and physically. Zac would make a great running, biking, or hiking partner or even agility dog. Inside the house, Zac isnât destructive (he has had free run of the house) although he does like to relocate his foster dadâs clothing around the house, and he settles right down to snuggle on your lap. He is already mostly potty trained and has learned to use the doggie door, sit, lie down, and wait. He will be easy to train as he is smart and highly food motivated. Zac loves to ride in the car and walks well on the leash. He has begun to show some interest in toys and fetch. Although Zac typically sleeps on the bed with his foster dad and canine housemates, he has occasionally been crated during the night and does just fine.  

Zac would thrive best in an ACD-experienced home without children or cats. He needs a patient person who will be able to harness his energy (and occasional mouthiness) in order help him achieve his full potential as a good canine citizen through training and exercise. Although he gets along with his foster brother and sister, they are no match for his energy level. Therefore, Zac requests a home with another dog who likes to chase and roughhouse as much as he does! 

Zac is neutered, microchipped, heartworm negative, and up to date on HW and flea/tick prevention.He is located in Adamstown, MD.

For questions, please contact mdrancherld@yahoo.com.

COMPLETE AN APPLICATION
http://www.acdra.org/adoption-application




"
6,45287347,Wooster,OH,Akron,Ohio,,,Akron,Ohio,,OH,-82.9071,40.4173,-82.9071,40.4173,47301,OH507,https://www.petfinder.com/dog/tate-45287347/oh/wooster/star-mar-rescue-oh507/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Cockapoo,,True,False,Red / Chestnut / Orange,,,Young,Female,Small,Medium,True,True,,False,True,True,True,,TATE,adoptable,2019-07-18T02:50:50+0000,44691,US,OH,2019-09-20,"Tate is an adorable 2 year old, 22 pound Cockapoo.  She came to use from a local shelter where her owner had turned her in.  Her owner was older and didn't have the time or energy for Tate.  She came to us with a condition called Microphthalmia.  This is where one eye is very small and often with other abnormalities.  Tate could not see out of the eye and it was uncomfortable for her.  We removed the eye which is completely healed.

Tate is very affectionate. She loves to play with toys and with other dogs.  She loves to cuddle in bed and on the sofa.  Tate is house trained and crate trained.  She loves her walks but needs more leash training.  We're working on it..   She likes to ride in the car.  Tate does sleep in bed.  She is good with respectful children that are 10 or older.  Tate would love another dog to play with but would be fine with an interactive family that has a lot of time for her.  We introduced Tate to cats and she would definitely chase if the cat would run.  It doesn't appear that she would hurt the cat but unless the cat was VERY laid back she would do best without a cat in the home.

Tate is a sweet girl that had little training in her early life.  She is very smart and eager to please.  She and her new owner would have a lot of fun in an obedience class.  Tate quickly learned to ring bells at the door to go outside but then took it a bit too far by ringing them too much.  This shows us that she is eager to have an active family that will do a lot of things where she can be included.  

Tate's adoption requirements are a fenced yard or area large enough for her to run and play that leads directly into the home.  She is not a candidate for an underground fence.  Tate needs someone who is not working a typical 8 hour work day; someone that works very part time, works from home and can their dog in their work space or someone that is retired.  She would love children that are 10 or older in the home and would do super with another playful dog.  If she is an only dog the family must be active with the time and desire to have a dog involved in a major part of their life.  After having very little attention for the first two years of her life, Tate deserves to have a home where she is cherished.  Tate's new home must continue with her natural care program.  We will place Tate within an hour drive from Akron, OH. which includes the Cleveland, Akron/Canton, Youngstown area.

Star-Mar Rescue is a natural care provider and we place our dogs in homes that are already on a natural care program or are eager to learn. We use no chemicals on our dogs, no commercial flea products (oral or topical), do blood titer testing instead of randomly vaccinating. Our yards are without fertilizer and weed killer and our homes are toxin free. We feel that dogs can be protected without being harmed by harsh chemicals and unnecessary vaccinations and do best on a species appropriate, no grain, raw diet. Frozen raw diets, freeze dried or dehydrated no grain. Raw, no grain foods are easily gotten at many pet stores and on line and are no more expensive than a high quality dry food. This simple step will provide your dog the nutrition needed to keep them healthy and happy for many years unlike feeding a lifetime of processed foods. We are happy to help with this transition. For more information go to Star-Mar Rescue Natural Care facebook page and click on \""videos\"" in the column to the left and watch the 7 part series called The Truth About Pet Cancer. It will give you an understanding of what we are doing and why. Please do some research on natural care and raw feeding and decide whether or not you are wanting to care for Tate in this manner before requesting an application.

If you feel that your lifestyle and environment meet with Tate's needs, please directly contact Martha at learymjri@aol.com or call 330-466-3667 or 330-262-0515 for an application or more information. PLEASE DO NOT USE THE LINK PROVIDED AS IT IS NOT ALWAYS RELIABLE. Tate's adoption will require an approved application and a home visit, with adoption completed at her foster home in Akron, OH. Tate's adoption fee is $275. We will work to place her within an 1 hour driving distance from his foster home in Akron, OH. so that we can conduct a home visit bringing Tate with us. This includes the Cleveland, Akron/Canton, Youngstown, Elyria, Loraine areas of OH. 

STAR-MAR RESCUE IS REGISTERED WITH THE OHIO DEPARTMENT OF AGRICULTURE AS REQUIRED BY LAW

"
7,45287347,Wooster,OH,Akron,Ohio,,,Akron,Ohio,,OH,-82.9071,40.4173,-82.9071,40.4173,47301,OH507,https://www.petfinder.com/dog/tate-45287347/oh/wooster/star-mar-rescue-oh507/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Cockapoo,,True,False,Red / Chestnut / Orange,,,Young,Female,Small,Medium,True,True,,False,True,True,True,,TATE,adoptable,2019-07-18T02:50:50+0000,44691,US,OH,2019-09-20,"Tate is an adorable 2 year old, 22 pound Cockapoo.  She came to use from a local shelter where her owner had turned her in.  Her owner was older and didn't have the time or energy for Tate.  She came to us with a condition called Microphthalmia.  This is where one eye is very small and often with other abnormalities.  Tate could not see out of the eye and it was uncomfortable for her.  We removed the eye which is completely healed.

Tate is very affectionate. She loves to play with toys and with other dogs.  She loves to cuddle in bed and on the sofa.  Tate is house trained and crate trained.  She loves her walks but needs more leash training.  We're working on it..   She likes to ride in the car.  Tate does sleep in bed.  She is good with respectful children that are 10 or older.  Tate would love another dog to play with but would be fine with an interactive family that has a lot of time for her.  We introduced Tate to cats and she would definitely chase if the cat would run.  It doesn't appear that she would hurt the cat but unless the cat was VERY laid back she would do best without a cat in the home.

Tate is a sweet girl that had little training in her early life.  She is very smart and eager to please.  She and her new owner would have a lot of fun in an obedience class.  Tate quickly learned to ring bells at the door to go outside but then took it a bit too far by ringing them too much.  This shows us that she is eager to have an active family that will do a lot of things where she can be included.  

Tate's adoption requirements are a fenced yard or area large enough for her to run and play that leads directly into the home.  She is not a candidate for an underground fence.  Tate needs someone who is not working a typical 8 hour work day; someone that works very part time, works from home and can their dog in their work space or someone that is retired.  She would love children that are 10 or older in the home and would do super with another playful dog.  If she is an only dog the family must be active with the time and desire to have a dog involved in a major part of their life.  After having very little attention for the first two years of her life, Tate deserves to have a home where she is cherished.  Tate's new home must continue with her natural care program.  We will place Tate within an hour drive from Akron, OH. which includes the Cleveland, Akron/Canton, Youngstown area.

Star-Mar Rescue is a natural care provider and we place our dogs in homes that are already on a natural care program or are eager to learn. We use no chemicals on our dogs, no commercial flea products (oral or topical), do blood titer testing instead of randomly vaccinating. Our yards are without fertilizer and weed killer and our homes are toxin free. We feel that dogs can be protected without being harmed by harsh chemicals and unnecessary vaccinations and do best on a species appropriate, no grain, raw diet. Frozen raw diets, freeze dried or dehydrated no grain. Raw, no grain foods are easily gotten at many pet stores and on line and are no more expensive than a high quality dry food. This simple step will provide your dog the nutrition needed to keep them healthy and happy for many years unlike feeding a lifetime of processed foods. We are happy to help with this transition. For more information go to Star-Mar Rescue Natural Care facebook page and click on \""videos\"" in the column to the left and watch the 7 part series called The Truth About Pet Cancer. It will give you an understanding of what we are doing and why. Please do some research on natural care and raw feeding and decide whether or not you are wanting to care for Tate in this manner before requesting an application.

If you feel that your lifestyle and environment meet with Tate's needs, please directly contact Martha at learymjri@aol.com or call 330-466-3667 or 330-262-0515 for an application or more information. PLEASE DO NOT USE THE LINK PROVIDED AS IT IS NOT ALWAYS RELIABLE. Tate's adoption will require an approved application and a home visit, with adoption completed at her foster home in Akron, OH. Tate's adoption fee is $275. We will work to place her within an 1 hour driving distance from his foster home in Akron, OH. so that we can conduct a home visit bringing Tate with us. This includes the Cleveland, Akron/Canton, Youngstown, Elyria, Loraine areas of OH. 

STAR-MAR RESCUE IS REGISTERED WITH THE OHIO DEPARTMENT OF AGRICULTURE AS REQUIRED BY LAW

"
8,45987719,Locust Fork,AL,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-86.6807,32.601,2045,AL186,https://www.petfinder.com/dog/trixie-b-45987719/al/locust-fork/crossing-paths-animal-rescue-al186/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Chihuahua,,True,False,,,,Young,Female,Small,,True,True,,False,True,,True,,Trixie B,adoptable,2019-09-16T17:38:37+0000,35097,US,AL,2019-09-20,"Meet Trixie... she is a female 2yr. Old Chihuahua mix . She is about 10 to 12 lbs. She is very sweet , quiet , and calm. She is housebroken. She is great with other dogs. She came into rescue pregnant, and heart worm positive. . All her puppies have been adopted, so its her turn to find a loving home. She has went through her treatment . She is doing great!SB posted 9/15/19
**It is rare that we know with certainty the ages or mixes that make up our wonderful dogs, but we do our best to be as accurate as possible based upon our many years in rescue.
** Adoption: $325 which covers quarantine, shots, worming, food, medical records, spaying/neutering,microchip and an Alabama State Health Certificate. Transport, if needed : $120.00 We consider the transport to be of great importance and, as such, take particular care of the dogs during the trip from Alabama. We make every effort to arrive with healthy and minimally stressed dogs."
9,45943086,Locust Fork,AL,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-86.6807,32.601,2130,AL186,https://www.petfinder.com/dog/reba-45943086/al/locust-fork/crossing-paths-animal-rescue-al186/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Dachshund,,True,False,,,,Adult,Female,Small,,True,False,,False,True,,True,,Reba,adoptable,2019-09-11T20:10:09+0000,35097,US,AL,2019-09-20,"Meet Reba, a 2-year-old Dachshund with a sleek and short coat of red. She weighs only 15 pounds, and they're all filled with fun! Reba greatly enjoys playing and has a wonderful temperament. She loves running and playing. She loves attention, too! She's wonderful with people and other dogs, too! (posted 9/11/19, ME)
**It is rare that we know with certainty the ages or mixes that make up our wonderful dogs, but we do our best to be as accurate as possible based upon our many years in rescue.
** Adoption: $325 which covers quarantine, shots, worming, food, medical records, spaying/neutering,microchip and an Alabama State Health Certificate. Transport, if needed : $120.00 We consider the transport to be of great importance and, as such, take particular care of the dogs during the trip from Alabama. We make every effort to arrive with healthy and minimally stressed dogs."
10,45942459,Locust Fork,AL,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-86.6807,32.601,2134,AL186,https://www.petfinder.com/dog/moric-45942459/al/locust-fork/crossing-paths-animal-rescue-al186/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Labrador Retriever,Hound,True,False,,,,Young,Male,Medium,,True,False,,False,True,,True,,Moric,adoptable,2019-09-11T19:39:23+0000,35097,US,AL,2019-09-20,"What a sweet boy Moric is! A 1-year-old mix of Lab and Hound, he will weigh 45 pounds when mature. His short and sleek coat is mostly white with a bit of tan/red here and there. (Check out that ear!) Even better than his good looks, though, is his gentle temperament and loving nature. He gets along well with people and loves to play with his doggie pals. Oh, and he really loves playing with his toys! In fact, while he was posing for his pictures, he even used one to lie on so that we could get just the right shot of him! A fine boy! (posted 9/11/19, ME)

**It is rare that we know with certainty the ages or mixes that make up our wonderful dogs, but we do our best to be as accurate as possible based upon our many years in rescue.
** Adoption: $325 which covers quarantine, shots, worming, food, medical records, spaying/neutering,microchip and an Alabama State Health Certificate. Transport, if needed : $120.00 We consider the transport to be of great importance and, as such, take particular care of the dogs during the trip from Alabama. We make every effort to arrive with healthy and minimally stressed dogs."
11,45942229,Locust Fork,AL,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-86.6807,32.601,2136,AL186,https://www.petfinder.com/dog/bert-loves-to-snuggle-45942229/al/locust-fork/crossing-paths-animal-rescue-al186/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Chihuahua,,True,False,,,,Adult,Male,Small,,True,False,,False,True,,True,,Bert Loves to snuggle!,adoptable,2019-09-11T19:09:00+0000,35097,US,AL,2019-09-20,"Bert is a 2-year old Chihuahua mix who weighs only 9 pounds (no small children, please) and sports a medium length coat of black and brown. What's most important about him, though, is that he is a gentle, sweet, and loving boy who needs a lot of TLC. You see, he was in really bad shape when he came into rescue; he had been DUMPED and ended up in a kill shelter. This boy needs you; he needs your love, and he needs to have someone to give his love to. Sweet! Sweet! Sweet Boy! (posted 9/11/19, ME)
**It is rare that we know with certainty the ages or mixes that make up our wonderful dogs, but we do our best to be as accurate as possible based upon our many years in rescue.
** Adoption: $325 which covers quarantine, shots, worming, food, medical records, spaying/neutering,microchip and an Alabama State Health Certificate. Transport, if needed : $120.00 We consider the transport to be of great importance and, as such, take particular care of the dogs during the trip from Alabama. We make every effort to arrive with healthy and minimally stressed dogs."
12,45941983,Locust Fork,AL,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-86.6807,32.601,2138,AL186,https://www.petfinder.com/dog/gypsy-girl-45941983/al/locust-fork/crossing-paths-animal-rescue-al186/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Chihuahua,,True,False,,,,Adult,Female,Small,,True,False,,False,True,,True,,Gypsy Girl,adoptable,2019-09-11T18:53:00+0000,35097,US,AL,2019-09-20,"Gypsy Girl is a 4-year-old, 15-pound Chihuahua mix. She wears a short coat of red/tan and white with an especially fetching white tip on her tail. She is gentle and loving, good with other dogs and people, and, although she can be a bit shy when she first meets you, she comes around quickly and looks up at you with loving eyes. She's a fine little girl! (posted 9/11/19, ME)
**It is rare that we know with certainty the ages or mixes that make up our wonderful dogs, but we do our best to be as accurate as possible based upon our many years in rescue.
** Adoption: $325 which covers quarantine, shots, worming, food, medical records, spaying/neutering,microchip and an Alabama State Health Certificate. Transport, if needed : $120.00 We consider the transport to be of great importance and, as such, take particular care of the dogs during the trip from Alabama. We make every effort to arrive with healthy and minimally stressed dogs."
13,45898359,Locust Fork,AL,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-86.6807,32.601,2172,AL186,https://www.petfinder.com/dog/tiny-tim-b-5-lbs-of-love-45898359/al/locust-fork/crossing-paths-animal-rescue-al186/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Chihuahua,Dachshund,True,False,,,,Baby,Male,Small,,True,False,,False,True,True,True,True,Tiny Tim B 5 lbs of love,adoptable,2019-09-07T15:18:08+0000,35097,US,AL,2019-09-20,"This boy is full of personality! He thinks he is big as the rest of his rescue friends. Look at those ears... bless him they are as big as he is...lol. He loves playing, and wrestling. He also loves being held, and attention. He is 15 wks. old. He is a tiny boy so no kids under 8 please. Tiny will bring so much joy to your life.
VB posted 8/ 28/19. Updated 9/7/19

**It is rare that we know with certainty the ages or mixes that make up our wonderful dogs, but we do our best to be as accurate as possible based upon our many years in rescue.
** Adoption: $325 which covers quarantine, shots, worming, food, medical records, spaying/neutering,microchip and an Alabama State Health Certificate. Transport, if needed : $120.00 We consider the transport to be of great importance and, as such, take particular care of the dogs during the trip from Alabama. We make every effort to arrive with healthy and minimally stressed dogs."
